"Points:0","Points:1","Points:2","alpha.water"
2,0.30659,0.005,0.25
2,0.30614,0.005,0.25
2,0.30566,0.005,0.25
2,0.30527,0.005,0.25
2,0.30473,0.005,0.25
2,0.30389,0.005,0.25
2,0.30324,0.005,0.25
2,0.30268,0.005,0.25
2,0.30213,0.005,0.25
2,0.30121,0.005,0.25
2,0.30051,0.005,0.25
2,0.29993,0.005,0.25
2,0.29937,0.005,0.25
2,0.29847,0.005,0.25
2,0.29782,0.005,0.25
2,0.29726,0.005,0.25
2,0.29682,0.005,0.25
2,0.29616,0.005,0.25
2,0.2955,0.005,0.25
2,0.29501,0.005,0.25
2,0.29458,0.005,0.25
2,0.2943,0.005,0.25
2,0.29402,0.005,0.25
2,0.2937,0.005,0.25
2,0.29333,0.005,0.25
2,0.29303,0.005,0.25
2,0.29288,0.005,0.25
2,0.29279,0.005,0.25
2,0.29275,0.005,0.25
2,0.29276,0.005,0.25
2,0.29284,0.005,0.25
2,0.29297,0.005,0.25
2,0.2932,0.005,0.25
2,0.29359,0.005,0.25
2,0.29393,0.005,0.25
2,0.29422,0.005,0.25
2,0.2945,0.005,0.25
2,0.2949,0.005,0.25
2,0.29538,0.005,0.25
2,0.29595,0.005,0.25
2,0.29672,0.005,0.25
2,0.29719,0.005,0.25
2,0.29775,0.005,0.25
2,0.2984,0.005,0.25
2,0.29931,0.005,0.25
2,0.29991,0.005,0.25
2,0.30052,0.005,0.25
2,0.30122,0.005,0.25
2,0.30216,0.005,0.25
2,0.30274,0.005,0.25
2,0.30335,0.005,0.25
2,0.304,0.005,0.25
2,0.30486,0.005,0.25
2,0.30535,0.005,0.25
2,0.30577,0.005,0.25
2,0.30625,0.005,0.25
2,0.30668,0.005,0.25
2,0.30719,0.005,0.25
2,0.30762,0.005,0.25
2,0.30787,0.005,0.25
2,0.30802,0.005,0.25
2,0.30811,0.005,0.25
2,0.30814,0.005,0.25
2,0.30814,0.005,0.25
2,0.30809,0.005,0.25
2,0.30798,0.005,0.25
2,0.3078,0.005,0.25
2,0.3075,0.005,0.25
2,0.30699,0.005,0.25
2,0.30656,0.005,0.25
2,0.30613,0.005,0.25
