"Points:0","Points:1","Points:2","alpha.water"
2.151,0.29751,0.005,0.25
2.151,0.29812,0.005,0.25
2.151,0.29876,0.005,0.25
2.151,0.29925,0.005,0.25
2.151,0.29985,0.005,0.25
2.151,0.30064,0.005,0.25
2.151,0.30114,0.005,0.25
2.151,0.30174,0.005,0.25
2.151,0.30253,0.005,0.25
2.151,0.30307,0.005,0.25
2.151,0.30373,0.005,0.25
2.151,0.3046,0.005,0.25
2.151,0.30512,0.005,0.25
2.151,0.30567,0.005,0.25
2.151,0.30632,0.005,0.25
2.151,0.30679,0.005,0.25
2.151,0.30718,0.005,0.25
2.151,0.30763,0.005,0.25
2.151,0.30812,0.005,0.25
2.151,0.30855,0.005,0.25
2.151,0.30877,0.005,0.25
2.151,0.30891,0.005,0.25
2.151,0.30905,0.005,0.25
2.151,0.30919,0.005,0.25
2.151,0.30927,0.005,0.25
2.151,0.30928,0.005,0.25
2.151,0.3092,0.005,0.25
2.151,0.30903,0.005,0.25
2.151,0.30885,0.005,0.25
2.151,0.30859,0.005,0.25
2.151,0.30809,0.005,0.25
2.151,0.3076,0.005,0.25
2.151,0.30713,0.005,0.25
2.151,0.30675,0.005,0.25
2.151,0.30617,0.005,0.25
2.151,0.3055,0.005,0.25
2.151,0.30495,0.005,0.25
2.151,0.30444,0.005,0.25
2.151,0.30364,0.005,0.25
2.151,0.30304,0.005,0.25
2.151,0.30254,0.005,0.25
2.151,0.30174,0.005,0.25
2.151,0.30113,0.005,0.25
2.151,0.30066,0.005,0.25
2.151,0.2999,0.005,0.25
2.151,0.29931,0.005,0.25
2.151,0.29884,0.005,0.25
2.151,0.29833,0.005,0.25
2.151,0.29766,0.005,0.25
2.151,0.29716,0.005,0.25
2.151,0.29681,0.005,0.25
2.151,0.29641,0.005,0.25
2.151,0.29587,0.005,0.25
2.151,0.29552,0.005,0.25
2.151,0.29522,0.005,0.25
2.151,0.29499,0.005,0.25
2.151,0.29487,0.005,0.25
2.151,0.29477,0.005,0.25
2.151,0.29471,0.005,0.25
2.151,0.29468,0.005,0.25
2.151,0.2947,0.005,0.25
2.151,0.29475,0.005,0.25
2.151,0.29484,0.005,0.25
2.151,0.29495,0.005,0.25
2.151,0.29515,0.005,0.25
2.151,0.29543,0.005,0.25
2.151,0.29575,0.005,0.25
2.151,0.29622,0.005,0.25
2.151,0.29667,0.005,0.25
2.151,0.29701,0.005,0.25
2.151,0.29746,0.005,0.25
2.151,0.298,0.005,0.25
2.151,0.2987,0.005,0.25
2.151,0.29915,0.005,0.25
2.151,0.29973,0.005,0.25
2.151,0.30051,0.005,0.25
2.151,0.30105,0.005,0.25
2.151,0.30163,0.005,0.25
2.151,0.30242,0.005,0.25
2.151,0.30299,0.005,0.25
2.151,0.30357,0.005,0.25
2.151,0.30431,0.005,0.25
2.151,0.30483,0.005,0.25
2.151,0.3053,0.005,0.25
2.151,0.30585,0.005,0.25
2.151,0.30654,0.005,0.25
2.151,0.3069,0.005,0.25
2.151,0.30727,0.005,0.25
2.151,0.30764,0.005,0.25
2.151,0.30801,0.005,0.25
2.151,0.30847,0.005,0.25
2.151,0.30872,0.005,0.25
2.151,0.30886,0.005,0.25
2.151,0.30894,0.005,0.25
2.151,0.30896,0.005,0.25
2.151,0.30893,0.005,0.25
2.151,0.30886,0.005,0.25
2.151,0.30872,0.005,0.25
2.151,0.30847,0.005,0.25
2.151,0.30801,0.005,0.25
2.151,0.30761,0.005,0.25
2.151,0.30718,0.005,0.25
